Concept,Relation,Description,"Target object
(should appear in the ""Concept list"")",Max cardinality,Ordering Needed (applicable for concepts with Max cardinality over 1),"(ignore if not sure or not applicable)
Other characteristics:
symmetric, transitive, has some special behaviour or meaning?
etc.",Needed by,standards
Building,hasSpace,,Space,,,,,
Space,meeting,,Meeting,,,,,
Space,hasSystem,,System,,,,,
Space,usedBy,,Occupant,,,,,
Window,subClassOf,,System,,,,,
Shade,subClassOf,,System,,,,,
Light,subClassOf,,System,,,,,
Thermostat,subClassOf,,System,,,,,
Equipment,subClassOf,,System,,,,,
HVAC,subClassOf,,System,,,,,
Occupant,hasBehavior,,Behavior,,,,,
Behavior,driver,,Driver,,,,,
Behavior,need,,Need,,,,,
Behavior,action,,Action,,,,,
Behavior,interactWith,,System,,,,,
DriverTime,subClassOf,,Driver,,,,,
Environment,subClassOf,,Driver,,,,,
Spatial,subClassOf,,Driver,,,,,
Habit,subClassOf,,Driver,,,,,
Event,subClassOf,,Driver,,,,,
Environment,hasParameter,,Environment Parameter,,,,,
TemperatureEnvironment,subClassOf,,Environment Parameter,,,,,
IAQEnvironment,subClassOf,,Environment Parameter,,,,,
DaylightFactorEnvironment,subClassOf,,Environment Parameter,,,,,
IlluminanceEnvironment,subClassOf,,Environment Parameter,,,,,
GlareEnvironment,subClassOf,,Environment Parameter,,,,,
RelativeHumidityEnvironment,subClassOf,,Environment Parameter,,,,,
SolarIrradianceEnvironment,subClassOf,,Environment Parameter,,,,,
RainingEnvironment,subClassOf,,Environment Parameter,,,,,
NoiseEnvironment,subClassOf,,Environment Parameter,,,,,
PhysicalNeed,subClassOf,,Need,,,,,
NonPhysicalNeed,subClassOf,,Need,,,,,
ThermalNeed,subClassOf,,PhysicalNeed,,,,,
AccousticNeed,subClassOf,,PhysicalNeed,,,,,
VisualNeed,subClassOf,,PhysicalNeed,,,,,
IAQNeed,subClassOf,,PhysicalNeed,,,,,
Interaction,subClassOf,,Action,,,,,
Inaction,subClassOf,,Action,,,,,
Report,subClassOf,,Action,,,,,
Movement,subClassOf,,Action,,,,,
InteractionFormula,models,,Interaction,,,,,
InteractionFormula,hasParameter,,InteractionParameter,,,,,
InteractionFormula,hasCoefficient,,InteractionCoefficient,,,,,
Movement,hasMovementModel,,MovementModel,,,,,
MovementModel,hasSpaceOccupancy,,SpaceOccupancy,,,,,
MovementModel,hasEvent,,Event,,,,,
MarkovChainModel,subClassOf,,MovementModel,,,,,
